nickname,gender,audio_url,avatar_url,asset_id
开朗姐姐,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-hjk6p.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-hjk6p.png,asset-20260224190657-hjk6p
清澈梓梓,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-dmrnn.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-dmrnn.png,asset-20260224190657-dmrnn
甜美小源,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-kvrll.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-kvrll.png,asset-20260224190657-kvrll
邻家女孩,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-c25mw.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-c25mw.png,asset-20260224190657-c25mw
清爽男大,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-zzv99.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-zzv99.png,asset-20260224190657-zzv99
知性女声,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190658-8h2gv.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190658-8h2gv.png,asset-20260224190658-8h2gv
魅力苏菲,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-4vxtg.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-4vxtg.png,asset-20260224190657-4vxtg
开朗学长,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190658-wg7vs.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190658-wg7vs.png,asset-20260224190658-wg7vs
温柔白月光,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190658-mwq8b.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190658-mwq8b.png,asset-20260224190658-mwq8b
贴心闺蜜,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190658-l5jhn.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190658-l5jhn.png,asset-20260224190658-l5jhn
初恋女友,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190658-mdd62.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190658-mdd62.png,asset-20260224190658-mdd62
纯澈女生,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190658-xf6fq.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190658-xf6fq.png,asset-20260224190658-xf6fq
冷酷哥哥,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190658-llks5.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190658-llks5.png,asset-20260224190658-llks5
快乐小东,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190658-k8s4v.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190658-k8s4v.png,asset-20260224190658-k8s4v
阳光阿辰,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190658-cfzpd.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190658-cfzpd.png,asset-20260224190658-cfzpd
知心姐姐,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190658-7kss5.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190658-7kss5.png,asset-20260224190658-7kss5
元气甜妹,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190658-dbmhj.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190658-dbmhj.png,asset-20260224190658-dbmhj
机灵小伙,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190658-wx5qt.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190658-wx5qt.png,asset-20260224190658-wx5qt
亲切女声,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190658-9xwll.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190658-9xwll.png,asset-20260224190658-9xwll
